"","idGame","slugTeam","namePlayer","groupStartPosition","isStarter","idTeam","idPlayer","fgm","fga","pctFG","fg3m","fg3a","pctFG3","pctFT","fg2m","fg2a","pctFG2","cityTeam","teamName","minExact","ftm","fta","oreb","dreb","treb","ast","stl","blk","tov","pf","pts","plusminus"
"61",22000605,"LAC","Paul George","G",TRUE,1610612746,202331,5,18,0.278,2,6,0.333333333333333,0.75,3,12,0.25,"LA","Paul",37.8166666666667,3,4,2,5,7,4,0,0,4,2,15,5
"62",22000605,"LAC","Reggie Jackson","G",TRUE,1610612746,202704,5,11,0.455,2,4,0.5,0,3,7,0.428571428571429,"LA","Reggie",25.9833333333333,0,0,0,3,3,3,1,0,0,0,12,22
"63",22000605,"LAC","Lou Williams",NA,FALSE,1610612746,101150,5,10,0.5,2,4,0.5,1,3,6,0.5,"LA","Lou",24.6333333333333,2,2,0,1,1,2,2,0,0,2,14,-6
"64",22000605,"LAC","Nicolas Batum",NA,FALSE,1610612746,201587,4,6,0.667,4,6,0.666666666666667,0,0,0,0,"LA","Nicolas",25.9166666666667,0,0,0,7,7,1,0,0,0,1,12,5
"65",22000605,"LAC","Terance Mann",NA,FALSE,1610612746,1629611,0,0,0,0,0,0,0,0,0,0,"LA","Terance",13,0,0,0,2,2,0,1,0,0,1,0,-9
"66",22000605,"LAC","Patrick Patterson",NA,FALSE,1610612746,202335,2,2,1,1,1,1,0,1,1,1,"LA","Patrick",6.75,0,0,0,1,1,1,0,0,0,0,5,-6
"67",22000605,"LAC","Amir Coffey",NA,FALSE,1610612746,1629599,0,0,0,0,0,0,0,0,0,0,"LA","Amir",0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,-2
"68",22000605,"DAL","Dorian Finney-Smith","F",TRUE,1610612742,1627827,3,8,0.375,2,5,0.4,0,1,3,0.333333333333333,"Dallas","Dorian",26.8,0,0,1,2,3,2,1,0,2,2,8,-2
"69",22000605,"DAL","Maxi Kleber","F",TRUE,1610612742,1628467,1,4,0.25,1,4,0.25,0,0,0,0,"Dallas","Maxi",35.9166666666667,0,0,1,4,5,0,1,1,1,2,3,-21
"70",22000605,"DAL","Kristaps Porzingis","C",TRUE,1610612742,204001,9,14,0.643,3,7,0.428571428571429,1,6,7,0.857142857142857,"Dallas","Kristaps",31.7833333333333,1,1,1,6,7,0,0,1,1,0,22,-18
"71",22000605,"DAL","Josh Richardson","G",TRUE,1610612742,1626196,3,8,0.375,0,3,0,0,3,5,0.6,"Dallas","Josh",30.2333333333333,0,0,1,2,3,2,2,1,1,1,6,-20
"72",22000605,"DAL","Luka Doncic","G",TRUE,1610612742,1629029,9,23,0.391,4,11,0.363636363636364,0.75,5,12,0.416666666666667,"Dallas","Luka",38.3833333333333,3,4,0,10,10,16,2,0,7,5,25,-2
"73",22000605,"DAL","Tim Hardaway Jr.",NA,FALSE,1610612742,203501,8,12,0.667,5,9,0.555555555555556,0,3,3,1,"Dallas","Tim",30.1166666666667,0,0,0,1,1,1,1,0,0,2,21,1
"74",22000605,"DAL","Jalen Brunson",NA,FALSE,1610612742,1628973,3,4,0.75,2,2,1,0,1,2,0.5,"Dallas","Jalen",23.8666666666667,0,0,0,2,2,3,0,0,1,2,8,-3
"75",22000605,"DAL","Willie Cauley-Stein",NA,FALSE,1610612742,1626161,3,5,0.6,0,0,0,0,3,5,0.6,"Dallas","Willie",16.2166666666667,0,0,0,2,2,0,1,1,0,2,6,8
"76",22000605,"DAL","Trey Burke",NA,FALSE,1610612742,203504,0,1,0,0,0,0,0,0,1,0,"Dallas","Trey",6.68333333333333,0,0,0,0,0,0,0,0,1,0,0,7
"77",22000606,"IND","Justin Holiday","F",TRUE,1610612754,203200,7,16,0.438,5,11,0.454545454545455,0,2,5,0.4,"Indiana","Justin",32.3166666666667,0,0,1,2,3,2,1,0,1,0,19,10
"78",22000606,"IND","Domantas Sabonis","F",TRUE,1610612754,1627734,5,11,0.455,0,1,0,0,5,10,0.5,"Indiana","Domantas",30.9166666666667,0,0,3,6,9,10,0,0,2,3,10,-15
"79",22000606,"IND","Myles Turner","C",TRUE,1610612754,1626167,3,9,0.333,1,5,0.2,0.333,2,4,0.5,"Indiana","Myles",30.4166666666667,1,3,2,7,9,1,0,5,3,3,8,5
"80",22000606,"IND","Caris LeVert","G",TRUE,1610612754,1627747,6,11,0.545,3,6,0.5,1,3,5,0.6,"Indiana","Caris",29.3666666666667,2,2,0,2,2,2,3,0,1,1,17,-14
"81",22000606,"IND","Malcolm Brogdon","G",TRUE,1610612754,1627763,9,16,0.563,3,6,0.5,1,6,10,0.6,"Indiana","Malcolm",33.0166666666667,3,3,1,5,6,4,0,0,1,1,24,-4
"82",22000606,"IND","Doug McDermott",NA,FALSE,1610612754,203926,4,9,0.444,4,7,0.571428571428571,0,0,2,0,"Indiana","Doug",19.75,0,0,1,2,3,1,0,0,3,1,12,-11
"83",22000606,"IND","T.J. McConnell",NA,FALSE,1610612754,204456,1,4,0.25,0,0,0,0,1,4,0.25,"Indiana","T.J.",19.1166666666667,0,0,2,1,3,3,1,0,0,1,2,-21
"84",22000606,"IND","Goga Bitadze",NA,FALSE,1610612754,1629048,1,3,0.333,0,1,0,1,1,2,0.5,"Indiana","Goga",9.03333333333333,1,1,0,2,2,0,2,3,0,0,3,-2
"85",22000606,"IND","Edmond Sumner",NA,FALSE,1610612754,1628410,1,4,0.25,1,2,0.5,0,0,2,0,"Indiana","Edmond",13.5,0,0,0,1,1,0,0,0,0,1,3,-13
"86",22000606,"IND","Aaron Holiday",NA,FALSE,1610612754,1628988,1,4,0.25,0,2,0,1,1,2,0.5,"Indiana","Aaron",18.1166666666667,4,4,0,0,0,5,1,1,0,2,6,-16
"87",22000606,"IND","Kelan Martin",NA,FALSE,1610612754,1629103,0,1,0,0,0,0,0,0,1,0,"Indiana","Kelan",1.48333333333333,0,0,0,0,0,0,0,0,0,0,0,2
